Date/Time,Step Count (count),Source
2018-05-24 12:00:00 AM,5783,iPhone
2018-05-25 12:00:00 AM,15467,iPhone
2018-05-26 12:00:00 AM,2838,iPhone
2018-05-27 12:00:00 AM,3546,iPhone
2018-05-28 12:00:00 AM,7360,iPhone
2018-05-29 12:00:00 AM,4085,iPhone
2018-05-30 12:00:00 AM,4517,iPhone
2018-05-31 12:00:00 AM,7947,iPhone
2018-06-01 12:00:00 AM,6694,iPhone
2018-06-02 12:00:00 AM,16275,iPhone
2018-06-03 12:00:00 AM,688,iPhone
2018-06-04 12:00:00 AM,14659,iPhone
2018-06-05 12:00:00 AM,13995,iPhone
2018-06-06 12:00:00 AM,7259,iPhone
2018-06-07 12:00:00 AM,7315,iPhone
2018-06-08 12:00:00 AM,7127,iPhone
2018-06-09 12:00:00 AM,11288,iPhone
2018-06-10 12:00:00 AM,8193,iPhone
2018-06-11 12:00:00 AM,16579,iPhone
2018-06-12 12:00:00 AM,12436,iPhone
2018-06-13 12:00:00 AM,16935,iPhone
2018-06-14 12:00:00 AM,14745,iPhone
2018-06-15 12:00:00 AM,12248,iPhone
2018-06-16 12:00:00 AM,19129,iPhone
2018-06-17 12:00:00 AM,11955,iPhone
2018-06-18 12:00:00 AM,18166,iPhone
2018-06-19 12:00:00 AM,25944,iPhone
2018-06-20 12:00:00 AM,5184,iPhone
2018-06-21 12:00:00 AM,14271,iPhone
2018-06-22 12:00:00 AM,13391,iPhone
2018-06-23 12:00:00 AM,1162,iPhone
2018-06-24 12:00:00 AM,14492,iPhone
2018-06-25 12:00:00 AM,16438,iPhone
2018-06-26 12:00:00 AM,11257,iPhone
2018-06-27 12:00:00 AM,5393,iPhone
2018-06-28 12:00:00 AM,13807,iPhone
2018-06-29 12:00:00 AM,6447,iPhone
2018-06-30 12:00:00 AM,6901,iPhone
2018-07-01 12:00:00 AM,1882,iPhone
2018-07-02 12:00:00 AM,10847,iPhone
2018-07-03 12:00:00 AM,20986,iPhone
2018-07-04 12:00:00 AM,10838,iPhone
2018-07-05 12:00:00 AM,16955,iPhone
2018-07-06 12:00:00 AM,10037,iPhone
2018-07-07 12:00:00 AM,1366,iPhone
2018-07-08 12:00:00 AM,14924,iPhone
2018-07-09 12:00:00 AM,11968,iPhone
2018-07-10 12:00:00 AM,11570,iPhone
2018-07-11 12:00:00 AM,3905,iPhone
2018-07-12 12:00:00 AM,18287,iPhone
2018-07-13 12:00:00 AM,4705,iPhone
2018-07-14 12:00:00 AM,16652,iPhone
2018-07-15 12:00:00 AM,21857,iPhone
2018-07-16 12:00:00 AM,9605,iPhone
2018-07-17 12:00:00 AM,13563,iPhone
2018-07-18 12:00:00 AM,11950,iPhone
2018-07-19 12:00:00 AM,13377,iPhone
2018-07-20 12:00:00 AM,20389,iPhone
2018-07-21 12:00:00 AM,5410,iPhone
2018-07-22 12:00:00 AM,5504,iPhone
2018-07-23 12:00:00 AM,6489,iPhone
2018-07-24 12:00:00 AM,2687,iPhone
2018-07-25 12:00:00 AM,2222,iPhone
2018-07-26 12:00:00 AM,9023,iPhone
2018-07-27 12:00:00 AM,4759,iPhone
2018-07-28 12:00:00 AM,4886,iPhone
2018-07-29 12:00:00 AM,6736,iPhone
2018-07-30 12:00:00 AM,1946,iPhone
2018-07-31 12:00:00 AM,7001,iPhone
2018-08-01 12:00:00 AM,4500,iPhone
2018-08-02 12:00:00 AM,4321,iPhone
2018-08-03 12:00:00 AM,15795,iPhone
2018-08-04 12:00:00 AM,3231,iPhone
2018-08-05 12:00:00 AM,3744,iPhone
2018-08-06 12:00:00 AM,3170,iPhone
2018-08-07 12:00:00 AM,12576,iPhone
2018-08-08 12:00:00 AM,9830,iPhone
2018-08-09 12:00:00 AM,7884,iPhone
2018-08-10 12:00:00 AM,8060,iPhone
2018-08-11 12:00:00 AM,9018,iPhone
2018-08-12 12:00:00 AM,12151,iPhone
2018-08-13 12:00:00 AM,12247,iPhone
2018-08-14 12:00:00 AM,15182,iPhone
2018-08-15 12:00:00 AM,6229,iPhone
2018-08-16 12:00:00 AM,14461,iPhone
2018-08-17 12:00:00 AM,6033,iPhone
2018-08-18 12:00:00 AM,7670,iPhone
2018-08-19 12:00:00 AM,2673,iPhone
2018-08-20 12:00:00 AM,8208,iPhone
2018-08-21 12:00:00 AM,8554,iPhone
2018-08-22 12:00:00 AM,7740,iPhone
2018-08-23 12:00:00 AM,8340,iPhone
2018-08-24 12:00:00 AM,10761,iPhone
2018-08-25 12:00:00 AM,7195,iPhone
2018-08-26 12:00:00 AM,3489,iPhone
2018-08-27 12:00:00 AM,14063,iPhone
2018-08-28 12:00:00 AM,10299,iPhone
2018-08-29 12:00:00 AM,11420,iPhone
2018-08-30 12:00:00 AM,4866,iPhone
2018-08-31 12:00:00 AM,3672,iPhone
2018-09-01 12:00:00 AM,21353,iPhone
2018-09-02 12:00:00 AM,3155,iPhone
2018-09-03 12:00:00 AM,7688,iPhone
2018-09-04 12:00:00 AM,10555,iPhone
2018-09-05 12:00:00 AM,5292,iPhone
2018-09-06 12:00:00 AM,5731,iPhone
2018-09-07 12:00:00 AM,8021,iPhone
2018-09-08 12:00:00 AM,9317,iPhone
2018-09-09 12:00:00 AM,7322,iPhone
2018-09-10 12:00:00 AM,7893,iPhone
2018-09-11 12:00:00 AM,7123,iPhone
2018-09-12 12:00:00 AM,10291,iPhone
2018-09-13 12:00:00 AM,5883,iPhone
2018-09-14 12:00:00 AM,9474,iPhone
2018-09-15 12:00:00 AM,10055,iPhone
2018-09-16 12:00:00 AM,8656,iPhone
2018-09-17 12:00:00 AM,8647,iPhone
2018-09-18 12:00:00 AM,9803,iPhone
2018-09-19 12:00:00 AM,7588,iPhone
2018-09-20 12:00:00 AM,8739,iPhone
2018-09-21 12:00:00 AM,6821,iPhone
2018-09-22 12:00:00 AM,5709,iPhone
2018-09-23 12:00:00 AM,5326,iPhone
2018-09-24 12:00:00 AM,7621,iPhone
2018-09-25 12:00:00 AM,4922,iPhone
2018-09-26 12:00:00 AM,5708,iPhone
2018-09-27 12:00:00 AM,4744,iPhone
2018-09-28 12:00:00 AM,11676,iPhone
2018-09-29 12:00:00 AM,10123,iPhone
2018-09-30 12:00:00 AM,4036,iPhone
2018-10-01 12:00:00 AM,9522,iPhone
2018-10-02 12:00:00 AM,7233,iPhone
2018-10-03 12:00:00 AM,3633,iPhone
2018-10-04 12:00:00 AM,4660,iPhone
2018-10-05 12:00:00 AM,13649,iPhone
2018-10-06 12:00:00 AM,4380,iPhone
2018-10-07 12:00:00 AM,12959,iPhone
2018-10-08 12:00:00 AM,5741,iPhone
2018-10-09 12:00:00 AM,2698,iPhone
2018-10-10 12:00:00 AM,4255,iPhone
2018-10-11 12:00:00 AM,4255,iPhone
2018-10-12 12:00:00 AM,4255,iPhone
2018-10-13 12:00:00 AM,5553,iPhone
2018-10-14 12:00:00 AM,2473,iPhone
2018-10-15 12:00:00 AM,5247,iPhone
2018-10-16 12:00:00 AM,5194,iPhone
2018-10-17 12:00:00 AM,9913,iPhone
2018-10-18 12:00:00 AM,7471,iPhone
2018-10-19 12:00:00 AM,8962,iPhone
2018-10-20 12:00:00 AM,8962,iPhone
2018-10-21 12:00:00 AM,8962,iPhone
2018-10-22 12:00:00 AM,8962,iPhone
2018-10-23 12:00:00 AM,8962,iPhone
2018-10-24 12:00:00 AM,8962,iPhone
2018-10-25 12:00:00 AM,10244,iPhone
2018-10-26 12:00:00 AM,10728,iPhone
2018-10-27 12:00:00 AM,13032,iPhone
2018-10-28 12:00:00 AM,4651,iPhone
